🕘️更新时间,#genre#
2026-03-07 17:39:57,http://101.74.28.215:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0

📺央视频道,#genre#
东方卫视,http://171.8.84.159:8800/rtp/239.16.20.73:10730
东方卫视,http://121.29.215.252:2083/rtp/239.253.92.89:8019
东南卫视,http://58.32.16.142:4022/udp/233.18.204.94:5140
东南卫视,http://171.8.84.159:8800/rtp/239.16.20.82:10820
东南卫视,http://115.171.80.124:1688/udp/225.1.8.79:8148
东南卫视,http://joyznm.i234.me:20000/udp/239.3.1.156:8148##des:1080P###HLS\\n
东南卫视,http://14.118.74.55:10001/rtp/239.77.0.146:5146
甘肃卫视,http://www.410725.xyz:8092/hls/46/index.m3u8
甘肃卫视,http://171.8.84.159:8800/rtp/239.16.20.102:11020
甘肃卫视,http://223.95.198.3:8000/hls/42/index.m3u8
甘肃卫视,http://14.145.187.24:4022/rtp/239.77.0.189:5146
甘肃卫视,http://220.176.218.207:9000/udp/239.252.219.140:5140
广西卫视,http://58.32.16.142:4022/udp/233.18.204.107:5140
广西卫视,http://60.4.29.183:8077/rtp/239.253.92.76:8043
广西卫视,http://171.8.84.159:8800/rtp/239.16.20.84:10840
广西卫视,http://115.171.80.124:1688/rtp/225.1.8.152:8300
广西卫视,http://121.29.215.252:2083/rtp/239.253.92.76:8043
贵州卫视,http://58.32.16.142:4022/udp/233.18.204.101:5140
贵州卫视,http://60.4.29.183:8077/rtp/239.253.92.105:6055
贵州卫视,http://171.8.84.159:8800/rtp/239.16.20.81:10810
贵州卫视,http://220.176.218.207:9000/udp/239.252.220.190:5140
贵州卫视,http://116.9.34.226:4000/udp/239.81.0.95:4056
海南卫视,http://60.4.29.183:8077/rtp/239.253.93.155:6323
海南卫视,http://www.410725.xyz:8092/hls/45/index.m3u8
海南卫视,http://223.95.198.3:8000/hls/41/index.m3u8
海南卫视,http://alist.guangyuan.site:8188/rtp/239.253.43.101:5146
海南卫视,http://121.29.215.252:2083/rtp/239.253.93.155:6323
河北卫视,http://58.32.16.142:4022/udp/233.18.204.103:5140
河北卫视,http://60.4.29.183:8077/rtp/239.253.92.154:6011
河北卫视,http://121.29.215.252:2083/rtp/239.253.92.154:6011
河北卫视,http://14.145.187.24:4022/rtp/239.77.0.148:5146
河北卫视,http://220.176.218.207:9000/udp/239.252.220.154:5140
河南卫视,http://xxwx.yoesun.com/xxw/河南网.php?id=hnws
河南卫视,http://58.32.16.142:4022/udp/233.18.204.105:5140
河南卫视,http://60.4.29.183:8077/rtp/239.253.92.137:6144
河南卫视,http://www.410725.xyz:8092/hls/18/index.m3u8
河南卫视,http://171.8.84.159:8800/rtp/239.16.20.21:10210
吉林卫视,http://58.32.16.142:4022/udp/233.18.204.108:5140
吉林卫视,http://60.4.29.183:8077/rtp/239.253.92.202:6147
吉林卫视,http://14.118.74.55:10001/rtp/239.77.1.111:5146
吉林卫视,http://121.29.215.252:2083/rtp/239.253.92.202:6147
吉林卫视,http://14.145.187.24:4022/rtp/239.77.0.150:5146
江苏卫视,http://58.32.16.142:4022/udp/233.18.204.85:5140
江苏卫视,http://171.8.84.159:8800/rtp/239.16.20.74:10740
江苏卫视,http://115.171.80.124:1688/udp/225.1.8.44:8028
江苏卫视,http://alist.guangyuan.site:8188/rtp/239.77.0.90:5146
江苏卫视,http://14.145.187.24:4022/rtp/239.77.0.126:5146
江西卫视,http://58.32.16.142:4022/udp/233.18.204.95:5140
江西卫视,http://171.8.84.159:8800/rtp/239.16.20.89:10890
江西卫视,http://121.29.215.252:2083/rtp/239.253.92.19:6145
江西卫视,http://220.176.218.207:9000/udp/239.252.220.63:5140
江西卫视,http://zczb.aylzline.top:8899/rtp/225.1.2.77:11602
辽宁卫视,http://58.32.16.142:4022/udp/233.18.204.96:5140
辽宁卫视,http://60.4.29.183:8077/rtp/239.253.92.115:6056
辽宁卫视,http://171.8.84.159:8800/rtp/239.16.20.95:10950
辽宁卫视,http://joyznm.i234.me:20000/udp/239.3.1.210:8056###des:1080P###HLS\\n
辽宁卫视,http://14.118.74.55:10001/rtp/239.77.0.161:5146
内蒙古卫视,http://220.176.218.207:9000/rtp/239.252.219.48:5140
